feature,coefficient,abs_coefficient,direction
categorical__auth_characteristics_E_COMMERCE,-0.021044947211994257,0.021044947211994257,decrease_risk
numeric__distinct_merchants_7d,-0.01852073815335349,0.01852073815335349,decrease_risk
categorical__recurring_flag_MOTO_MAIL,-0.015450138973815773,0.015450138973815773,decrease_risk
categorical__term_location_BRANCH_COUNTER,0.010347568391331984,0.010347568391331984,increase_risk
categorical__day_name_Tuesday,0.00951088458330714,0.00951088458330714,increase_risk
categorical__message_type_0420-RepeatRev,-0.008741546541820515,0.008741546541820515,decrease_risk
categorical__card_entry_mode_QR_CODE,-0.007643092250387426,0.007643092250387426,decrease_risk
categorical__card_entry_mode_CHIP,-0.007102123952533389,0.007102123952533389,decrease_risk
categorical__merchant_country_HK,0.007013484115980283,0.007013484115980283,increase_risk
numeric__hour,-0.006739562536060374,0.006739562536060374,decrease_risk
categorical__merchant_country_AE,0.005376283158597886,0.005376283158597886,increase_risk
categorical__merchant_country_TH,-0.004361268921603745,0.004361268921603745,decrease_risk
categorical__message_type_0510-AdviceRsp,-0.004078702957698968,0.004078702957698968,decrease_risk
categorical__merchant_country_CA,-0.0022075907666614437,0.0022075907666614437,decrease_risk
numeric__log_mean_amount_30d,0.0007193442863062407,0.0007193442863062407,increase_risk
